SampleID;SampleLabel;Notes;Description
NIOZ184.147.148;89;;PE455_S12_DNs_Sn8_010_2019_07_23_TT_Silica
NIOZ184.149.150;90;;PE455_S12_DNs_Sn8_011_2019_07_23_TT_Silica
NIOZ184.151.152;91;;CEMIE_E1_20419969_5_1_SnI
NIOZ184.153.154;92;;CEMIE_E2_20419969_5_1_SnI
NIOZ184.155.156;93;;CEMIE_E7_20419969_4_30_SnI
NIOZ184.157.158;94;;CEMIE_E21_20419969_5_1_SnI
NIOZ184.159.160;95;;CEMIE_E24_20419969_4_30_SnI
NIOZ184.161.162;96;;CEMIE_E1_20419969_5_1_SfIII
NIOZ184.163.164;97;;CEMIE_E2_20419969_5_1_SfIII
NIOZ184.165.166;98;;CEMIE_E7_20419969_4_30_SfIII
NIOZ184.167.168;99;;CEMIE_E21_20419969_5_1_SfIII
NIOZ184.169.170;100;;CEMIE_E24_20419969_4_30_SfIII
NIOZ184.171.172;101;;CEMIE_E1_20419969_5_1_SnVIII
NIOZ184.173.174;102;;CEMIE_E2_20419969_5_1_SnVIII
NIOZ184.175.176;103;;CEMIE_E7_20419969_4_30_SnVIII
NIOZ184.177.178;104;;CEMIE_E21_20419969_5_1_SnVIII
NIOZ184.179.180;105;;CEMIE_E24_20419969_4_30_SnVIII
NIOZ184.181.182;106;;Florida_BillBags_1_SnI
NIOZ184.183.184;107;;Florida_BillBags_2_SnI
NIOZ184.185.186;108;;Florida_BillBags_3_SnI
NIOZ184.187.188;109;;Florida_BillBags_4_SnI
NIOZ184.189.190;110;;Florida_BillBags_5_SnI
NIOZ184.191.192;111;;Florida_BillBags_1_SfIII
NIOZ184.193.194;112;;Florida_BillBags_2_SfIII
NIOZ184.195.196;113;;Florida_BillBags_3_SfIII
NIOZ184.197.198;114;;Florida_BillBags_4_SfIII
NIOZ184.199.200;115;;Florida_BillBags_5_SfIII
NIOZ184.201.202;116;;Florida_BillBags_1_SnVIII
NIOZ184.203.204;117;;Florida_BillBags_2_SnVIII
